date	indexwig	indexaag	indexori
1989-01-01	99.2455634139085	99.11469737810891	99.46163465304309
1989-02-01	99.01548487190891	98.63179535750457	98.58217610364744
1989-03-01	99.44528996703386	98.88525141782178	99.09832412241423
1989-04-01	99.43254894812004	99.11871841811394	99.58238967978606
1989-05-01	99.73420113314236	99.00717353797435	99.37208077381874
1989-06-01	98.84638956419424	99.07486318805907	99.66543316014769
1989-07-01	99.46974277058814	99.09401800808304	99.23809199105104
1989-08-01	99.08680925448996	98.83679758776113	99.35639194792707
1989-09-01	99.99305601846834	99.32037111836632	99.15127886254469
1989-10-01	99.18099637843322	99.1189968581143	99.1940398548705
1989-11-01	99.74548433754259	99.5695841686782	99.89120305526586
1989-12-01	99.31603166961465	99.02835890800087	99.86071090185959
1990-01-01	99.70285381441063	99.21012570822835	99.58096759920981
1990-02-01	100.23497021627514	99.4798547385659	100.02281525491995
1990-03-01	99.81137292386465	99.34244078839393	99.87691566316302
1990-04-01	99.9196448293214	99.29989274834068	99.48654338213049
1990-05-01	99.82257473182676	99.39076624845441	99.7044776975852
1990-06-01	100.06130983885495	99.05825248803828	99.7892259628082
1990-07-01	99.41790086234114	99.0635263980449	99.4336916809123
1990-08-01	100.87081464280494	100.13873619939051	100.72676746684294
1990-09-01	100.76215233591347	100.16445709942268	101.37560893855928
1990-10-01	100.6559254621311	99.78670754894993	100.68658132081175
1990-11-01	100.58675216346191	99.83403564900917	101.04675233815753
1990-12-01	100.26293850615207	99.73879424888997	100.59851052738199
1991-01-01	100.99428776375122	101.41048250098207	102.30373431885823
1991-02-01	99.77129939016272	100.18018239944237	99.92705283962243
1991-03-01	99.63914225980677	99.81279261898257	99.96165574514563
1991-04-01	99.70998967648715	99.88621907907448	99.59786517512488
1991-05-01	99.59319278614338	99.5612711686678	99.33295291276919
1991-06-01	99.61346286791687	99.83942541901591	99.424887837762
1991-07-01	100.10345682838424	99.79406406895914	99.29641422039138
1991-08-01	100.11814974680445	99.8545170690348	99.74675306988465
1991-09-01	99.50747017039497	99.94888707915291	100.43354155263042
1991-10-01	99.48188860496495	100.05327109928352	99.96612862417628
1991-11-01	99.75040892971664	100.3423396996453	100.75820723841133
1991-12-01	100.43441022379146	100.55125779990676	101.4992674590917
1992-01-01	100.42487919615591	100.10386669934685	100.16709896386799
1992-02-01	99.85273738784853	100.31905559961616	101.09912418428226
1992-03-01	99.85758101425343	99.61953461874072	99.69083792504817
1992-04-01	99.58384027080204	99.59723084871281	99.5208204346204
1992-05-01	99.55364499160467	99.66960165880337	99.24842541707605
1992-06-01	99.74504893119895	99.84249009901974	100.31162817977835
1992-07-01	99.38648523950842	99.76380424892128	100.2462870556281
1992-08-01	100.13531125984558	99.95968239916641	100.31439794628524
1992-09-01	100.38053514880065	100.99574260046303	100.77846230877233
1992-10-01	100.29251297600784	100.19047269945524	101.26141657537366
1992-11-01	100.28150830677353	99.24330874826987	99.96683817557198
1992-12-01	99.39565913488832	99.1717396481803	99.47249963889124
1993-01-01	99.45214955495663	99.42982198850329	99.36506262205327
1993-02-01	99.33544038111833	99.78640556894956	99.93821950103634
1993-03-01	99.63494646722228	100.04555199927388	100.0069826594315
1993-04-01	99.26390963272648	99.6470776487752	99.51586900521217
1993-05-01	100.14003472960371	100.1661444994248	100.58496151865289
1993-06-01	99.6512312458776	100.16258679942034	100.27229554269479
1993-07-01	99.99792462367435	100.10925919935362	99.92668550798454
1993-08-01	99.36070094742053	99.99993291921679	100.14787242014285
1993-09-01	99.75479313998198	99.38870974845184	100.1588700170004
1993-10-01	99.63474695981508	99.47236415855653	99.25188818151788
1993-11-01	99.52620480957036	99.37720573843744	99.50627321585972
1993-12-01	99.26874870480687	99.42415999849621	99.21408996368014
1994-01-01	99.39204341035946	99.38181767844321	99.33648709724095
1994-02-01	99.13934444290199	99.40891623847713	99.67419329555999
1994-03-01	99.76171162188844	99.67471230880977	99.35925824171211
1994-04-01	99.87103586700955	99.82323739899566	99.92306428029036
1994-05-01	99.29720325226782	99.65225257878166	99.63417007787379
1994-06-01	99.79261868925045	99.44440847852155	99.46267043216348
1994-07-01	99.26928922668297	99.52861023862694	99.16923509423229
1994-08-01	99.68873131706079	100.02021059924215	99.49993002223574
1994-09-01	99.3903980825699	99.46650847854922	99.40963850633884
1994-10-01	99.54651709690435	99.5929861287075	98.83413796564635
1994-11-01	99.25149135714989	99.47889203856471	99.63864090890031
1994-12-01	99.27193676426708	99.53193196863108	99.64049132462632
1995-01-01	100.04600849282646	99.47400048855857	100.3143797187804
1995-02-01	99.39113886552394	99.44360843852056	99.78072323769653
1995-03-01	99.32393024646328	99.36431219842132	99.43871341456484
1995-04-01	99.2765616108277	99.36040583841643	98.93919151889595
1995-05-01	99.2650389544719	99.53586788863602	98.9710313565264
1995-06-01	99.72474730292234	99.39783486846326	99.17877508650352
1995-07-01	99.00450704411908	99.20766736822526	99.32088847641117
1995-08-01	98.95818496641675	98.84827081777549	98.69278853003212
1995-09-01	99.1387005927697	99.09632830808593	99.04609790593526
1995-10-01	99.57583768739357	99.4354205185103	99.27828966743564
1995-11-01	99.52333590812806	99.74111300889288	99.7974115751665
1995-12-01	99.01788647596925	99.40891623847713	99.54072193721835
1996-01-01	99.99444664862028	99.81646185898718	99.80662906127368
1996-02-01	99.20193220985686	99.59498451870999	99.32987068411894
1996-03-01	100.03234939530428	99.22273617824413	99.19845005317603
1996-04-01	98.95418848743842	99.07046593805357	99.0582904894289
1996-05-01	98.84260331628086	99.06379813804523	98.84445930232813
